run_id,assignment_id,assignment_title,created_at,status,error,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,failure_category,failure_subcategory,coder_notes
86f249e3-2aef-4e31-b5cb-d64bcf2ceebd,cdfe018c-f1ae-4fd0-918f-fa5448d643d6,Search for the weather in Paris,46:10.0,completed,,61140,19422,608,20030,6,Create an execution plan for the conversation,1,Search for the weather in Paris,4,fetch_page; http_request; web_search,0,7,positive,,,,
8be600fa-8e2e-41d3-9ae8-4a4ed42ab6d9,033ad708-0c98-4a7b-8b39-9190e17f3d92,what time is it in Tokyo?,53:22.6,completed,,68522,7599,127,7726,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,,,
132f2d8d-a73f-4fe9-a056-619df1045d15,8ba487d1-da6b-4b6e-b3ab-858d1411da25,"what is 2+2, then multiply that by 3",52:37.5,completed,,27257,4798,99,4897,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,,,
1033575d-4b07-4795-a787-7e76d2621fd8,8ba487d1-da6b-4b6e-b3ab-858d1411da25,"what is 2+2, then multiply that by 3",51:44.5,completed,,26719,4595,94,4689,2,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",0,,0,3,positive,,,,
827e9d7c-e0e8-4845-98e3-3a4896789dcc,b0e673bb-633b-4c7d-b605-82d5139e8404,What's the weather like in Toronto currently?,48:10.5,completed,,41627,11395,364,11759,4,Get current weather in Toronto and create an execution plan,3,What's the weather like in Toronto currently?,2,echo; http_request,0,5,positive,,,,
63bacd16-8334-4040-8d10-187adc167b63,2980db97-d99f-487b-9404-7bd7efff7db5,Search for the weather in Paris,46:43.7,completed,,31339,7980,303,8283,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,positive,,,,
e3d85bd0-1dfd-49c1-ab0d-8b712a2bce9e,c4948195-af93-4585-ba90-2e3a024145e6,what time is it in Tokyo?,21:34.6,completed,,28081,7777,103,7880,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,,,
23109648-87de-4381-bea3-a2253093e1d9,e68024e0-94df-4052-ae6d-010b4e131de9,"what is 2+2, then multiply that by 3",19:43.4,completed,,19427,4698,69,4767,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,,,
46970e21-6f36-43a9-9db0-a27f44af1174,e68024e0-94df-4052-ae6d-010b4e131de9,"what is 2+2, then multiply that by 3",18:58.4,completed,,33890,11115,202,11317,4,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,,,
e9ee6f81-dbe3-40fc-991a-9ba6abbfddef,080fa351-fb59-45c3-b0b2-147d2a02b1c3,Search for the weather in Paris,15:33.6,completed,,38245,8001,299,8300,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,,,,,
d163ce98-41e2-4188-80d9-a6ec4b3bce7f,9b03a767-bd94-4f4e-88b9-e6a09be2ecf5,what time is it in Tokyo?,37:13.7,completed,,29432,7870,142,8012,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,,,,,
d7e17db2-0379-424f-bbe2-fa0d5ee55f3d,d86e63d8-701e-4018-bcf8-cf2d0f9a4b15,"what is 2+2, then multiply that by 3",33:02.3,completed,,19185,4698,68,4766,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,,,,,
e75f8af6-23b8-42bf-b34e-77c8c729a895,d86e63d8-701e-4018-bcf8-cf2d0f9a4b15,"what is 2+2, then multiply that by 3",32:13.1,completed,,32756,11088,188,11276,4,Create an execution plan for the conversation,1,"what is 2+2, then multiply that by 3",2,calculator,0,5,,,,,
094c3df9-9a8f-4540-a2c5-ac4e6fb26667,c9f4c9be-d5f2-4e3c-8848-13784a849be1,Search for the weather in Paris,24:31.0,completed,,68138,19450,449,19899,6,Create an execution plan for the conversation,1,Search for the weather in Paris,4,http_request; web_search,0,7,,,,,
58adda6d-edcc-4711-b7eb-7579cdfae543,ee6ebfbc-5247-464c-9e69-3d1ecaad1be4,Search for the weather in Paris,34:39.6,completed,,66730,19728,700,20428,6,Execute search for current weather conditions in Paris,1,Search for the weather in Paris,4,http_request; web_search,0,7,,,,,
27e878d8-e191-4a74-9482-c22b2b972db7,9c7d17a0-9b09-4c1b-ad92-b87061460711,what time is it in Tokyo?,48:15.8,completed,,39598,11299,287,11586,4,Generate a structured JSON response outlining the planned steps to answer 'What time is it in Tokyo?',1,what time is it in Tokyo?,2,time_date,0,5,,,,,
8ff3c622-d698-499a-bdf7-e28168f3ae86,f7b3a5ae-8271-4c31-b91b-de80780e2f84,"CLI 3/12/2026, 3:43:24 PM",43:46.3,completed,,30995,9678,100,9778,3,Generate a structured response to 'What is 2+2?',1,what is 2 + 2 ?,1,calculator,0,4,,,,,
b03ef820-6ea3-4a02-bd31-9ad207f43243,d858f741-e5a8-46dc-88c1-10c3bc79b08a,Search for the weather in Paris,29:06.2,completed,,78435,16004,710,16714,5,Generate a structured execution plan based on user's request and context,1,yes.  Show me the current weather.,2,http_request; web_search,0,5,,,,,
