run_id,assignment_id,assignment_title,created_at,status,error,model_name,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,failure_category,failure_subcategory,coder_notes
ac9c5919-ee49-4e9b-8113-6363d6793885,eb2f7b5d-5de7-4a48-bc69-df8923f4b819,Summarize the history of the internet in 3 bullet ...,49:54.3,completed,,qwen3.5:2b,174282,27599,381,27980,8,Create an execution plan for the conversation,1,Summarize the history of the internet in 3 bullet points.,6,web_search,0,9,negative,"Wrong plan, infinite plan!",P,P-LP,
0029c99f-3922-49b2-8c7f-0325f72d5d65,74d078c7-2e17-4d83-8736-308c4a99b50e,"Search for the speed of light in km/s, then calcul...",48:47.1,completed,,qwen3.5:2b,51182,12311,351,12662,4,Calculate the speed of light in km/s and the distance light travels in 10 minutes,2,"Search for the speed of light in km/s, then calculate how far light travels in 10 minutes.",2,web_search,0,5,positive,,,,
cd973b23-411c-4cf1-bd85-dafb18bf3c30,e36d80ca-af75-4f89-9815-038b97c7ccbb,What is today’s date? Then tell me what date it wi...,47:43.3,completed,,qwen3.5:2b,33175,11786,209,11995,4,Generate an execution plan for the conversation,1,What is today’s date? Then tell me what date it will bein 90 days,2,time_date,0,5,positive,,,,
e38d0e91-7098-48b6-9096-0e3a8a67154a,154d8bd8-d8a2-49e2-bbdd-d68c9d35d025,"How long is the drive between Montreal, QC and New...",45:39.3,completed,,qwen3.5:2b,91950,39086,843,39929,11,"Calculate the driving time between Montreal, QC and New York City, NY",3,"How long is the drive between Montreal, QC and NewYork City, NY?",10,echo; fetch_page; http_request; json_query; web_search,0,12,negative,Got lost on its plan!,P,P-LP,
fca46ff7-efe6-47ff-94a9-375c1fc0d4d1,56960e52-6edc-4464-9298-0730db5fa556,How many days until Christmas?,43:04.3,completed,,qwen3.5:2b,100948,39388,1089,40477,11,Calculate days until Christmas,1,How many days until Christmas?,10,time_date,0,12,negative,Tool execution error.,T,T-EX,
6de3cdd2-a87a-461e-a39c-70600e60ae34,c28fe116-1817-413f-9d39-0d445554cc45,"What day of the week will January 1st, 2027 fall o...",42:24.6,completed,,qwen3.5:2b,22582,8245,147,8392,3,"Determine the day of the week for January 1st, 2027",1,"What day of the week will January 1st, 2027 fall on?",1,time_date,0,4,positive,,,,
3d17454e-299e-4eb0-b6d1-1b4b7ac52a82,7360f923-5e13-462b-a34d-945b7faf147f,What time is it right now in London?,41:33.0,completed,,qwen3.5:2b,20444,8137,114,8251,3,Get current time in London and create an execution plan,1,What time is it right now in London?,1,time_date,0,4,positive,,,,
c5950703-3cba-4ab8-a5a4-dd627956497a,c2e149e9-3a42-4461-8931-50a71cc293f7,What time is it in Tokyo?,39:03.9,completed,,qwen3.5:2b,29128,8156,155,8311,3,Create an execution plan for the conversation,1,What time is it in Tokyo?,1,time_date,0,4,positive,,,,
7ac2216b-5a3a-4880-aef5-ccb9c8e08037,d7b4d1f4-6e64-44cc-8d6c-6ce99cb2f135,"f I invest $1,000 at 5% annual interest for 10 yea...",37:40.7,completed,,qwen3.5:2b,46231,22670,378,23048,7,Calculate final investment amount and create an execution plan,2,"f I invest $1,000 at 5% annual interest for 10 years, whatis the final amount?",5,calculator,0,8,negative,wrong planning and infinite loop,P,P-LP,
a4ad68de-3d6c-474a-83e8-3f94e12760b8,98796f1c-277f-4c3c-8385-d6d4e39ad7a2,"What is the square root of 144, divided by 3?",35:39.4,completed,,qwen3.5:2b,27458,11677,235,11912,4,"Calculate the square root of 144, divide by 3, and provide the result",3,"What is the square root of 144, divided by 3?",2,calculator,0,5,positive,,,,
dea9d7cf-24eb-4805-8496-6c886d57c596,2b0133ef-4150-4e88-a153-db920f1b35d3,What is 15% of 847?,34:57.4,completed,,qwen3.5:2b,27749,8149,125,8274,3,Calculate 15% of 847,1,What is 15% of 847?,1,calculator,0,4,positive,,,,
3b48b843-8ec3-44e7-be22-b72fc3b1483c,76c3038a-3c5a-4a71-959b-ded0229df84f,"What is 2+2, then multiply that by 3",34:13.0,completed,,qwen3.5:2b,22704,8429,141,8570,3,Create an execution plan for the conversation,3,Add 10 to it.,1,calculator,0,4,positive,,,,
9edb5b54-1335-48a5-a64a-31fb210f6dff,76c3038a-3c5a-4a71-959b-ded0229df84f,"What is 2+2, then multiply that by 3",33:25.9,completed,,qwen3.5:2b,33902,11606,223,11829,4,Calculate 2+2 then multiply by 3,2,"What is 2+2, then multiply that by 3",2,calculator,0,5,positive,,,,
a36238f9-a70d-4f5a-9ad7-954899d603b1,ec13cef1-d60f-47d8-ba2f-6f5005f8d914,What is the current stock price of Apple?,30:37.8,completed,,qwen3.5:2b,124266,14719,289,15008,5,Get current stock price of Apple,1,What is the current stock price of Apple?,3,fetch_page; web_search,0,6,negative,"unable to search the web, getting on wrong website.",T,T-PE,
4fa1885b-c005-45de-9229-0c24dc82724c,0935a639-1a44-43bd-8dfc-a639bbd3f288,What is the population of Tokyo?,29:28.7,completed,,qwen3.5:2b,48721,19377,429,19806,6,Retrieve Tokyo's population and create an execution plan,3,What is the population of Tokyo?,3,fetch_page; memory_search; web_search,0,6,positive,,,,
dd6ce330-791f-42fe-9406-835b0ae3840d,d267ae30-c124-4f92-99c7-676aae779f04,What is the capital city of Australia?,27:58.1,completed,,qwen3.5:2b,31041,8522,127,8649,3,Retrieve the capital city of Australia,3,What is the capital city of Australia?,1,web_search,0,4,positive,,,,
f76ad2cc-3bf2-47d1-afbe-077181f801bc,50ef8b1d-07d0-479f-9939-fc5cb85ebfdc,Who is the current Prime Minister of Canada?,26:21.0,completed,,qwen3.5:2b,62344,16202,430,16632,5,Identify the current Prime Minister of Canada,1,Who is the current Prime Minister of Canada?,3,memory_search; web_search,0,6,positive,,,,
747a438b-3806-45a7-b509-96d4d6e74d69,b9eba21f-c011-431b-824b-6d22980c698c,Search for the weather in Paris.,25:04.6,completed,,qwen3.5:2b,33970,8196,232,8428,3,Create an execution plan for the conversation,1,Search for the weather in Paris.,1,http_request,0,4,positive,,,,
