run_id,assignment_id,assignment_title,created_at,status,error,duration_ms,prompt_tokens,completion_tokens,total_tokens,llm_calls,plan_goal,plan_step_count,user_message,tool_call_count,tools_used,failed_tool_count,step_count,feedback_rating,feedback_comment,model_name,failure_category,failure_subcategory,coder_notes
7256b1a9-7f18-4417-9665-7472e7907681,d0a5ac80-5891-4411-9258-4fceb2d8f8ae,What are the best practices to design a REST API f...,42:20.6,completed,,176445,34675,2426,37101,10,Design best practices for a REST API for a chatbot,1,What are the best practices to design a REST API for a chatbot?,8,web_search,0,11,positive,,qwen3.5:2b,,,
3284652c-f1f5-4174-97f3-9ec807010ee4,2223962c-00f0-4c30-a4be-fe9c7ad0f86d,"what is 2+2, then multiply that by 3",41:17.8,completed,,16813,4786,51,4837,2,Create an execution plan for the conversation,1,Add 10 to it.,0,,0,3,positive,,qwen3.5:2b,,,
ddaa428f-dcb7-46c9-ad00-987e861b67dc,2223962c-00f0-4c30-a4be-fe9c7ad0f86d,"what is 2+2, then multiply that by 3",40:06.3,completed,,31504,11417,197,11614,4,"Calculate 2+2, then multiply the result by 3",2,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,qwen3.5:2b,,,
9edcab2e-69e0-4326-977e-413ed10d3b43,bf90243c-b44f-443e-88dd-89ed5e72210c,"How long is the drive between Montreal, QC and New...",36:58.1,completed,,156770,38446,1843,40289,11,"Calculate the driving distance between Montreal, QC and New York City, NY",3,"How long is the drive between Montreal, QC and New York City, NY?",10,fetch_page; http_request; text_extract; web_search,0,12,negative,Got lost into his execution plan.,qwen3.5:2b,P,P-LP,
23e39eee-3928-412f-961d-6992fd30f702,43a33df3-7717-417c-8b51-aa16cc294a29,Search for the weather in Paris,35:26.4,completed,,28776,8167,292,8459,3,Create an execution plan for the conversation,1,Search for the weather in Paris,1,http_request,0,4,positive,,qwen3.5:2b,,,
895ca925-4cf4-4ab9-aea2-c45782f80be5,658a9235-f3ed-4242-950f-c465cc8616f9,what time is it in Tokyo?,34:09.2,completed,,28668,7979,138,8117,3,Create an execution plan for the conversation,1,what time is it in Tokyo?,1,time_date,0,4,positive,,qwen3.5:2b,,,
f732a14e-36d5-4617-8fd5-102bf4c3aa0d,9ea3bb56-5112-48af-b453-6452678f53c6,What are the best practices to design a REST API f...,28:41.4,completed,,100027,19627,1094,20721,6,Design best practices for a REST API chatbot,1,What are the best practices to design a REST API for a chatbot?,4,web_search,0,7,positive,,qwen3.5:2b,,,
d6f4f1df-9577-4794-804f-f38a667b5f12,3fbf4583-2f17-479d-a6b6-d782487e7fcb,"what is 2+2, then multiply that by 3",24:36.0,completed,,26978,8140,115,8255,3,Create an execution plan for the conversation,1,Add 10 to it.,1,calculator,0,4,positive,,qwen3.5:2b,,,
a7f607bc-0c84-40f5-a410-523fa2202154,3fbf4583-2f17-479d-a6b6-d782487e7fcb,"what is 2+2, then multiply that by 3",47:52.0,completed,,32223,11372,197,11569,4,"Calculate 2+2, multiply by 3, and create an execution plan",3,"what is 2+2, then multiply that by 3",2,calculator,0,5,positive,,qwen3.5:2b,,,
034b96ad-2890-4439-9f0a-5c299952ea3c,dd67ab7a-382c-4584-960d-81f861fe7dbb,"How long is the drive between Montreal, QC and New...",45:30.0,completed,,40517,11686,355,12041,4,"Calculate the driving time between Montreal, QC and New York City, NY",3,"How long is the drive between Montreal, QC and New York City, NY?",2,http_request,0,5,negative,Stopped at the second step and didn't complete the last step.,qwen3.5:2b,P,P-LP,
